,0,1,2,3
94,Computers-MOMENT,smECE,kmeans,0.05759921041821915
95,Computers-MOMENT,ACE,kmeans,0.06295626505653008
96,CricketX-MOMENT,Accuracy,no cal,0.9025641025641026
97,CricketX-MOMENT,CE,no cal,0.21044567164199685
98,CricketX-MOMENT,Brier,no cal,0.06038595995522608
99,CricketX-MOMENT,ECE,no cal,0.09313850733819257
100,CricketX-MOMENT,smECE,no cal,0.07865584666851748
101,CricketX-MOMENT,ACE,no cal,0.10898037504200545
102,CricketX-MOMENT,CE,global,0.1977596932077344
103,CricketX-MOMENT,Brier,global,0.06281536811204441
104,CricketX-MOMENT,ECE,global,0.08802231135383301
105,CricketX-MOMENT,smECE,global,0.06414908698512067
106,CricketX-MOMENT,ACE,global,0.09015764155727371
107,CricketX-MOMENT,CE,kmeans,0.19666747868993187
108,CricketX-MOMENT,Brier,kmeans,0.06294644622751384
109,CricketX-MOMENT,ECE,kmeans,0.08702418302853024
110,CricketX-MOMENT,smECE,kmeans,0.06515744900066957
111,CricketX-MOMENT,ACE,kmeans,0.08987007436723185
112,CricketY-MOMENT,Accuracy,no cal,0.9282051282051282
113,CricketY-MOMENT,CE,no cal,0.19577879945497115
114,CricketY-MOMENT,Brier,no cal,0.05546207448669717
115,CricketY-MOMENT,ECE,no cal,0.0641777787559642
116,CricketY-MOMENT,smECE,no cal,0.04956360588327742
117,CricketY-MOMENT,ACE,no cal,0.06683897574843042
118,CricketY-MOMENT,CE,global,0.19267755321111057
119,CricketY-MOMENT,Brier,global,0.05670337181974938
120,CricketY-MOMENT,ECE,global,0.0421831620239189
121,CricketY-MOMENT,smECE,global,0.042967390738864075
122,CricketY-MOMENT,ACE,global,0.059134047590332514
123,CricketY-MOMENT,CE,kmeans,0.18879884548093293
124,CricketY-MOMENT,Brier,kmeans,0.05616386114045518
125,CricketY-MOMENT,ECE,kmeans,0.05018544688985675
126,CricketY-MOMENT,smECE,kmeans,0.0409743550958327
127,CricketY-MOMENT,ACE,kmeans,0.05476492450719107
128,CricketZ-MOMENT,Accuracy,no cal,0.9179487179487179
129,CricketZ-MOMENT,CE,no cal,0.21392984796010125
130,CricketZ-MOMENT,Brier,no cal,0.061199851378464676
131,CricketZ-MOMENT,ECE,no cal,0.08463185405417266
132,CricketZ-MOMENT,smECE,no cal,0.05944730439627615
133,CricketZ-MOMENT,ACE,no cal,0.0872357062626401
134,CricketZ-MOMENT,CE,global,0.21407029153255752
135,CricketZ-MOMENT,Brier,global,0.06517181056860982
136,CricketZ-MOMENT,ECE,global,0.04102828720978898
137,CricketZ-MOMENT,smECE,global,0.04835142909030552
138,CricketZ-MOMENT,ACE,global,0.07217213590157623
