,0,1,2,3
88,ChlorineConcentration-MOMENT,smECE,no cal,0.022050375720412338
89,ChlorineConcentration-MOMENT,ACE,no cal,0.07413229410982342
90,ChlorineConcentration-MOMENT,CE,global,0.5263829209399696
91,ChlorineConcentration-MOMENT,Brier,global,0.17249013149480302
92,ChlorineConcentration-MOMENT,ECE,global,0.03353313793346728
93,ChlorineConcentration-MOMENT,smECE,global,0.026273167024586156
94,ChlorineConcentration-MOMENT,ACE,global,0.07452191074908801
95,ChlorineConcentration-MOMENT,CE,kmeans,0.5264410858003453
96,ChlorineConcentration-MOMENT,Brier,kmeans,0.17249925566353946
97,ChlorineConcentration-MOMENT,ECE,kmeans,0.03369038456800559
98,ChlorineConcentration-MOMENT,smECE,kmeans,0.025243404187498656
99,ChlorineConcentration-MOMENT,ACE,kmeans,0.0753491721215288
100,ChlorineConcentration-MOMENT,CE,sem aware groupings,0.5354844927787781
101,ChlorineConcentration-MOMENT,Brier,sem aware groupings,0.1755305455923031
102,ChlorineConcentration-MOMENT,ECE,sem aware groupings,0.042813853482362794
103,ChlorineConcentration-MOMENT,smECE,sem aware groupings,0.041971411752468074
104,ChlorineConcentration-MOMENT,ACE,sem aware groupings,0.06458573159811584
105,Computers-MOMENT,Accuracy,no cal,0.648
106,Computers-MOMENT,CE,no cal,0.5862333006981959
107,Computers-MOMENT,Brier,no cal,0.20275439835959366
108,Computers-MOMENT,ECE,no cal,0.05141828839906042
109,Computers-MOMENT,smECE,no cal,0.04762431168471218
110,Computers-MOMENT,ACE,no cal,0.048106157720802456
111,Computers-MOMENT,CE,global,0.5862346940386387
112,Computers-MOMENT,Brier,global,0.20292954495529877
113,Computers-MOMENT,ECE,global,0.05273429996976127
114,Computers-MOMENT,smECE,global,0.04893348419982967
115,Computers-MOMENT,ACE,global,0.04950250605875427
116,Computers-MOMENT,CE,kmeans,0.5883151570696441
117,Computers-MOMENT,Brier,kmeans,0.2039436504496343
118,Computers-MOMENT,ECE,kmeans,0.06512480755656926
119,Computers-MOMENT,smECE,kmeans,0.0571633955478358
120,Computers-MOMENT,ACE,kmeans,0.05440312354478233
121,Computers-MOMENT,CE,sem aware groupings,0.6043150424957275
122,Computers-MOMENT,Brier,sem aware groupings,0.20974863940279317
123,Computers-MOMENT,ECE,sem aware groupings,0.07539155340194702
124,Computers-MOMENT,smECE,sem aware groupings,0.0513378918465107
125,Computers-MOMENT,ACE,sem aware groupings,0.07802554890513419
126,CricketX-MOMENT,Accuracy,no cal,0.9025641025641026
127,CricketX-MOMENT,CE,no cal,0.2104456716419969
128,CricketX-MOMENT,Brier,no cal,0.060385959955226116
129,CricketX-MOMENT,ECE,no cal,0.09313850733819252
130,CricketX-MOMENT,smECE,no cal,0.07865584666851738
131,CricketX-MOMENT,ACE,no cal,0.10898037504200547
132,CricketX-MOMENT,CE,global,0.1977596932077345
133,CricketX-MOMENT,Brier,global,0.06281536811204443
134,CricketX-MOMENT,ECE,global,0.0880223113538332
135,CricketX-MOMENT,smECE,global,0.06414908698512055
136,CricketX-MOMENT,ACE,global,0.09015764155727374
137,CricketX-MOMENT,CE,kmeans,0.2067776779844506
138,CricketX-MOMENT,Brier,kmeans,0.06636824203130452
139,CricketX-MOMENT,ECE,kmeans,0.09374204904066416
140,CricketX-MOMENT,smECE,kmeans,0.06243493851087333
141,CricketX-MOMENT,ACE,kmeans,0.09199562122872673
142,CricketX-MOMENT,CE,sem aware groupings,0.1679561734199524
143,CricketX-MOMENT,Brier,sem aware groupings,0.05549392251649149
144,CricketX-MOMENT,ECE,sem aware groupings,0.0628774456488781
145,CricketX-MOMENT,smECE,sem aware groupings,0.047870873383883905
146,CricketX-MOMENT,ACE,sem aware groupings,0.06209905794702279
147,CricketY-MOMENT,Accuracy,no cal,0.9282051282051282
148,CricketY-MOMENT,CE,no cal,0.19577879945497048
149,CricketY-MOMENT,Brier,no cal,0.055462074486697016
150,CricketY-MOMENT,ECE,no cal,0.0641777787559635
151,CricketY-MOMENT,smECE,no cal,0.04956360588327704
152,CricketY-MOMENT,ACE,no cal,0.06683897574842976
153,CricketY-MOMENT,CE,global,0.1926775532111099
154,CricketY-MOMENT,Brier,global,0.05670337181974923
155,CricketY-MOMENT,ECE,global,0.04218316202391835
156,CricketY-MOMENT,smECE,global,0.04296739073886372
157,CricketY-MOMENT,ACE,global,0.059134047590331924
158,CricketY-MOMENT,CE,kmeans,0.2113686033249767
159,CricketY-MOMENT,Brier,kmeans,0.06151681310309422
160,CricketY-MOMENT,ECE,kmeans,0.03757530774277864
161,CricketY-MOMENT,smECE,kmeans,0.03972944806375438
162,CricketY-MOMENT,ACE,kmeans,0.06266072421019453
163,CricketY-MOMENT,CE,sem aware groupings,0.16906867921352386
164,CricketY-MOMENT,Brier,sem aware groupings,0.048433548386817196
165,CricketY-MOMENT,ECE,sem aware groupings,0.033467249228404154
166,CricketY-MOMENT,smECE,sem aware groupings,0.03073933419621143
167,CricketY-MOMENT,ACE,sem aware groupings,0.02803304587589362
168,CricketZ-MOMENT,Accuracy,no cal,0.9179487179487179
169,CricketZ-MOMENT,CE,no cal,0.2139298479601032
170,CricketZ-MOMENT,Brier,no cal,0.06119985137846619
171,CricketZ-MOMENT,ECE,no cal,0.08463185405417203
172,CricketZ-MOMENT,smECE,no cal,0.059447304396269836
173,CricketZ-MOMENT,ACE,no cal,0.08723570626263616
174,CricketZ-MOMENT,CE,global,0.21407029153256582
175,CricketZ-MOMENT,Brier,global,0.06517181056861213
176,CricketZ-MOMENT,ECE,global,0.04102828720979527
177,CricketZ-MOMENT,smECE,global,0.04835142909030354
178,CricketZ-MOMENT,ACE,global,0.07217213590157745
179,CricketZ-MOMENT,CE,kmeans,0.2179017852721937
180,CricketZ-MOMENT,Brier,kmeans,0.0657869615910253
181,CricketZ-MOMENT,ECE,kmeans,0.038644329005341684
182,CricketZ-MOMENT,smECE,kmeans,0.04819916810234434
183,CricketZ-MOMENT,ACE,kmeans,0.07424148638381381
184,CricketZ-MOMENT,CE,sem aware groupings,0.1921553760766983
185,CricketZ-MOMENT,Brier,sem aware groupings,0.05830300342242058
186,CricketZ-MOMENT,ECE,sem aware groupings,0.03683507350774911
187,CricketZ-MOMENT,smECE,sem aware groupings,0.038918934445975044
188,CricketZ-MOMENT,ACE,sem aware groupings,0.05666863287154299
189,Crop-MOMENT,Accuracy,no cal,0.9790277777777778
190,Crop-MOMENT,CE,no cal,0.058713126302782775
191,Crop-MOMENT,Brier,no cal,0.017002966244651096
192,Crop-MOMENT,ECE,no cal,0.012537173799215345
193,Crop-MOMENT,smECE,no cal,0.01311166339158808
194,Crop-MOMENT,ACE,no cal,0.007331201485672538
195,Crop-MOMENT,CE,global,0.05657684527079132
196,Crop-MOMENT,Brier,global,0.016227813350375375
197,Crop-MOMENT,ECE,global,0.006313016146979846
198,Crop-MOMENT,smECE,global,0.008547752784620005
199,Crop-MOMENT,ACE,global,0.009120539477043083
200,Crop-MOMENT,CE,kmeans,0.05564308087265126
201,Crop-MOMENT,Brier,kmeans,0.016105651568090424
202,Crop-MOMENT,ECE,kmeans,0.005743536286485858
203,Crop-MOMENT,smECE,kmeans,0.00801139955547763
204,Crop-MOMENT,ACE,kmeans,0.009095293479557065
205,Crop-MOMENT,CE,sem aware groupings,0.05711517855525017
206,Crop-MOMENT,Brier,sem aware groupings,0.01624456132113887
207,Crop-MOMENT,ECE,sem aware groupings,0.006194892153143918
208,Crop-MOMENT,smECE,sem aware groupings,0.00899288864148036
209,Crop-MOMENT,ACE,sem aware groupings,0.009692921971974622
210,DistalPhalanxOutlineAgeGroup-MOMENT,Accuracy,no cal,0.925
211,DistalPhalanxOutlineAgeGroup-MOMENT,CE,no cal,0.23692516584690843
212,DistalPhalanxOutlineAgeGroup-MOMENT,Brier,no cal,0.06526445001183928
213,DistalPhalanxOutlineAgeGroup-MOMENT,ECE,no cal,0.03637867665956947
214,DistalPhalanxOutlineAgeGroup-MOMENT,smECE,no cal,0.03214300586999228
215,DistalPhalanxOutlineAgeGroup-MOMENT,ACE,no cal,0.053809044538630904
216,DistalPhalanxOutlineAgeGroup-MOMENT,CE,global,0.23620715740322132
217,DistalPhalanxOutlineAgeGroup-MOMENT,Brier,global,0.06546348604663446
218,DistalPhalanxOutlineAgeGroup-MOMENT,ECE,global,0.02241725265628098
219,DistalPhalanxOutlineAgeGroup-MOMENT,smECE,global,0.03163763592091068
220,DistalPhalanxOutlineAgeGroup-MOMENT,ACE,global,0.05340109696207762
221,DistalPhalanxOutlineAgeGroup-MOMENT,CE,kmeans,0.23892009301044187
222,DistalPhalanxOutlineAgeGroup-MOMENT,Brier,kmeans,0.0654374662240274
223,DistalPhalanxOutlineAgeGroup-MOMENT,ECE,kmeans,0.036480740735613595
224,DistalPhalanxOutlineAgeGroup-MOMENT,smECE,kmeans,0.03219934405425404
225,DistalPhalanxOutlineAgeGroup-MOMENT,ACE,kmeans,0.055490239943456546
226,DistalPhalanxOutlineAgeGroup-MOMENT,CE,sem aware groupings,0.2365911453962326
227,DistalPhalanxOutlineAgeGroup-MOMENT,Brier,sem aware groupings,0.06529749153295629
228,DistalPhalanxOutlineAgeGroup-MOMENT,ECE,sem aware groupings,0.03852847576141361
229,DistalPhalanxOutlineAgeGroup-MOMENT,smECE,sem aware groupings,0.03205342900365862
230,DistalPhalanxOutlineAgeGroup-MOMENT,ACE,sem aware groupings,0.05367822855710983
231,DistalPhalanxOutlineCorrect-MOMENT,Accuracy,no cal,0.7433333333333333
232,DistalPhalanxOutlineCorrect-MOMENT,CE,no cal,0.5627944771701655
233,DistalPhalanxOutlineCorrect-MOMENT,Brier,no cal,0.18804533908947207
234,DistalPhalanxOutlineCorrect-MOMENT,ECE,no cal,0.0944033452794346
235,DistalPhalanxOutlineCorrect-MOMENT,smECE,no cal,0.09429593524028919
236,DistalPhalanxOutlineCorrect-MOMENT,ACE,no cal,0.1826581743799975
237,DistalPhalanxOutlineCorrect-MOMENT,CE,global,0.5312997002505054
238,DistalPhalanxOutlineCorrect-MOMENT,Brier,global,0.17773751913598776
